DSetID,Flag,FleetCode,Year,GearGrp,GearCode,TimePeriodID,SquareTypeCode,QuadID,Lat,Lon,Eff1,Eff1Type,CatchUnits,DSetType,SKJ,
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,3,1x1,4,15,19,24,FISH.HOUR,kg,-w,5550,231.25
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,4,1x1,4,13,19,37.2,FISH.HOUR,kg,-w,3010,80.91397849
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,4,1x1,4,14,19,62.1,FISH.HOUR,kg,-w,10650,171.4975845
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,4,1x1,4,14,23,12.4,FISH.HOUR,kg,-w,330,26.61290323
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,6,1x1,4,14,17,25.9,FISH.HOUR,kg,-w,3400,131.2741313
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,6,1x1,4,18,16,13.2,FISH.HOUR,kg,-w,2720,206.0606061
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,7,1x1,4,16,17,51.9,FISH.HOUR,kg,-w,33740,650.0963391
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,7,1x1,4,17,17,430.3,FISH.HOUR,kg,-w,342600,796.1887056
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,7,1x1,4,18,18,26.2,FISH.HOUR,kg,-w,66050,2520.992366
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,9,1x1,4,14,17,0,FISH.HOUR,kg,-w,1870,#DIV/0!
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,9,1x1,4,15,17,12.2,FISH.HOUR,kg,-w,1720,140.9836066
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,9,1x1,4,17,18,12.2,FISH.HOUR,kg,-w,2460,201.6393443
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,10,1x1,4,15,17,153,FISH.HOUR,kg,-w,60300,394.1176471
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,10,1x1,4,15,18,23.5,FISH.HOUR,kg,-w,6360,270.6382979
4975,EU.España,EU.ESP-ES-ETRO,2010,BB,BB,10,1x1,4,16,16,11.7,FISH.HOUR,kg,-w,9410,804.2735043
